ID,Responded,Previous,ControlPackage,PostalCode,Age,Income,Education,Reside,Gender,Married,Children,Region,Sequence
8715, ,No, ,62060,31,<25,Post-graduate,14,Male,No,0,North,7360
8716, ,No, ,75390,45,25-49,Some high school or less,10,Female,No,1,South,2012
8717, ,No, ,93180,33,50-74,High school,7,Female,Yes,0,West,637
8718, ,No, ,60200,33,25-49,Post-graduate,10,Male,No,0,North,6894
8719, ,No, ,75760,61,25-49,Some high school or less,9,Female,Yes,0,South,2646
8720,No,No,Control,93330,50,50-74,Some high school or less,7,Male,No,2,West,4113
8721,No,No,Test,94460,28,<25,Some high school or less,8,Female,Yes,1,West,935
8722, ,No, ,94580,45,25-49,College,8,Female,Yes,2,West,964
8723, ,No, ,75000,45,<25,Some college,12,Male,No,0,South,3736
8724, ,No, ,61290,22,<25,Some college,8,Male,No,0,North,7156
8725, ,No, ,96060,47,25-49,Post-graduate,6,Male,Yes,2,West,357
8726, ,No, ,11660,51,75+,High school,8,Female,Yes,2,East,9012
8727, ,No, ,95740,63,75+,Some college,10,Female,Yes,2,West,1246
8728, ,No, ,74120,33,50-74,Some high school or less,10,Male,No,0,South,3475
8729, ,Yes, ,60740,52,<25,Post-graduate,13,Male,No,0,North,5562
8730, ,No, ,93860,52,75+,College,10,Female,No,2,West,800
8731, ,No, ,11650,69,75+,College,10,Female,Yes,2,East,9007
8732, ,No, ,09210,41,25-49,Some college,7,Female,Yes,0,East,8093
8733, ,No, ,60040,39,50-74,Some college,11,Female,No,0,North,5004
8734, ,No, ,10530,36,<25,High school,13,Male,Yes,1,East,7789
8735, ,No, ,94340,65,50-74,High school,11,Male,Yes,3,West,189
8736, ,No, ,11660,32,<25,Some high school or less,14,Male,No,0,East,9847
8737, ,No, ,61890,44,50-74,Post-graduate,16,Female,Yes,2,North,6096
8738, ,Yes, ,61110,63,50-74,Some high school or less,10,Male,Yes,2,North,6484
8739, ,No, ,75450,43,75+,High school,12,Male,No,0,South,3873
8740, ,No, ,11230,30,50-74,Post-graduate,1,Male,No,0,East,9780
8741,No,No,Control,09500,39,50-74,Some college,7,Male,Yes,2,East,7646
8742, ,No, ,92830,33,25-49,Post-graduate,7,Male,No,1,West,4262
8743, ,No, ,11900,76,75+,Post-graduate,16,Female,Yes,2,East,9088
8744, ,No, ,76100,46,75+,College,8,Male,No,0,South,4052
8745, ,Yes, ,62160,30,75+,Post-graduate,15,Female,No,1,North,5511
8746, ,No, ,10770,20,<25,Some college,12,Male,No,0,East,9700
8747, ,No, ,74030,27,<25,Post-graduate,12,Female,No,0,South,1701
8748, ,No, ,93920,43,75+,Some high school or less,7,Male,No,0,West,4340
8749, ,No, ,74240,54,50-74,Some college,12,Female,Yes,0,South,2286
8750, ,No, ,09190,42,75+,College,10,Female,No,2,East,8088
8751,No,No,Test,94360,38,25-49,College,13,Male,No,0,West,4641
8752, ,No, ,74900,34,25-49,Some high school or less,6,Male,No,0,South,3704
8753, ,No, ,10140,51,25-49,Some high school or less,8,Female,No,1,East,8442
8754,No,No,Control,61390,45,75+,College,8,Female,Yes,0,North,5975
8755, ,No, ,75130,57,75+,College,13,Male,Yes,0,South,3080
8756, ,No, ,11610,29,<25,Some college,11,Female,No,0,East,8988
8757, ,No, ,95290,49,75+,Some college,8,Male,Yes,0,West,273
8758, ,No, ,95120,51,25-49,Some college,9,Male,No,1,West,4444
8759, ,No, ,09330,37,<25,College,14,Male,No,0,East,9431
8760, ,No, ,96610,66,50-74,High school,10,Male,Yes,2,West,403
8761, ,No, ,75950,63,75+,High school,8,Female,No,4,South,2147
8762, ,No, ,93660,49,50-74,College,7,Female,No,1,West,757
8763, ,No, ,75000,41,75+,High school,12,Male,No,0,South,3738
8764, ,No, ,11770,50,25-49,Post-graduate,6,Female,Yes,0,East,9056
8765,No,No,Control,60040,48,25-49,Post-graduate,3,Male,Yes,2,North,6237
8766, ,No, ,75560,71,75+,High school,9,Male,Yes,2,South,3196
8767, ,No, ,76030,72,75+,High school,10,Female,Yes,3,South,2722
8768, ,No, ,12180,57,75+,Some high school or less,4,Female,Yes,0,East,9190
8769, ,No, ,12230,28,<25,Post-graduate,14,Male,No,0,East,9950
8770,No,No,Control,92780,44,75+,Post-graduate,9,Female,No,1,West,2
8771, ,No, ,92650,50,25-49,Post-graduate,7,Female,No,1,West,524
8772, ,No, ,75170,43,75+,Some college,12,Female,Yes,2,South,2515
8773, ,No, ,92740,37,75+,Some college,13,Male,No,0,West,4252
8774, ,No, ,10980,32,<25,Some high school or less,12,Male,No,0,East,9739
8775, ,No, ,76170,51,75+,College,12,Female,No,3,South,2203
8776, ,No, ,75360,45,25-49,Some high school or less,8,Female,Yes,0,South,2552
8777,No,No,Test,95180,65,50-74,College,9,Female,Yes,0,West,1110
8778, ,No, ,74580,40,25-49,Some high school or less,8,Male,No,1,South,3613
8779, ,No, ,60210,46,25-49,Post-graduate,11,Male,Yes,0,North,6271
8780,No,No,Control,60070,46,50-74,Post-graduate,13,Female,No,0,North,5018
8781, ,No, ,95400,40,<25,Some high school or less,4,Female,Yes,1,West,1173
8782,No,No,Test,76170,42,75+,Some high school or less,13,Male,Yes,0,South,3360
8783, ,No, ,94510,22,50-74,Some college,16,Male,No,0,West,4384
8784, ,No, ,11730,26,<25,Some high school or less,3,Female,No,0,East,9040
8785, ,No, ,10700,38,<25,High school,5,Female,Yes,1,East,8638
8786,No,No,Control,75830,20,25-49,Post-graduate,10,Male,No,1,South,3971
8787, ,No, ,60340,38,<25,High school,10,Male,Yes,0,North,6300
8788, ,Yes, ,61250,40,75+,Some high school or less,7,Female,No,2,North,5291
8789, ,No, ,61910,54,25-49,Post-graduate,12,Male,Yes,2,North,6665
8790, ,No, ,61160,36,25-49,Some high school or less,9,Female,Yes,2,North,5911
8791, ,No, ,60800,42,25-49,High school,5,Female,Yes,0,North,5831
8792,No,No,Control,76190,73,75+,Some high school or less,5,Female,Yes,0,South,2771
8793,No,No,Control,09180,30,25-49,Some college,10,Female,No,1,East,8084
8794, ,No, ,92740,54,50-74,High school,3,Female,Yes,2,West,546
8795, ,No, ,59840,52,50-74,College,7,Male,No,0,North,6804
8796,No,No,Test,09620,70,75+,High school,6,Female,Yes,2,East,8262
8797, ,No, ,60460,34,25-49,Some college,7,Female,No,1,North,5108
8798, ,No, ,09130,44,75+,Some high school or less,3,Male,Yes,2,East,7604
8799, ,No, ,61620,43,50-74,Some college,13,Female,No,2,North,5379
8800, ,No, ,74750,52,50-74,Some college,3,Female,No,2,South,1876
8801, ,No, ,94280,43,25-49,Some college,15,Female,Yes,2,West,893
8802, ,No, ,60980,29,<25,Some college,8,Female,No,0,North,5227
8803,Yes,No,Test,60640,46,50-74,College,13,Male,Yes,2,North,6356
8804, ,No, ,95870,40,25-49,Post-graduate,8,Male,Yes,2,West,4860
8805,No,No,Control,95460,42,25-49,Some college,6,Male,No,1,West,4677
8806, ,No, ,74940,46,50-74,High school,16,Male,Yes,3,South,3035
8807, ,No, ,95560,40,50-74,Some college,5,Female,No,2,West,1211
8808, ,No, ,95630,33,75+,Some college,14,Male,Yes,0,West,4851
8809, ,No, ,75950,44,50-74,Some college,12,Female,No,1,South,2148
8810, ,No, ,09270,31,25-49,College,8,Male,No,0,East,9416
8811,Yes,No,Test,74390,51,75+,College,12,Female,Yes,2,South,2314
8812, ,No, ,92630,45,75+,Post-graduate,11,Male,Yes,2,West,47
8813, ,No, ,10990,51,50-74,Some college,8,Female,No,2,East,8748
8814, ,No, ,75280,51,75+,Post-graduate,12,Male,No,0,South,3809
8815, ,No, ,74140,63,25-49,College,9,Female,Yes,0,South,2266
8816, ,No, ,60060,47,25-49,College,11,Female,Yes,2,North,5652
8817, ,No, ,94540,29,25-49,College,10,Male,No,0,West,204
8818, ,No, ,92760,30,50-74,Some high school or less,12,Female,No,2,West,551
8819, ,No, ,10960,45,50-74,High school,10,Male,No,1,East,9736
8820,No,No,Test,75700,56,75+,Some high school or less,12,Female,Yes,0,South,2628
8821, ,No, ,61860,43,75+,High school,10,Female,Yes,0,North,6087
8822, ,No, ,12290,62,75+,Post-graduate,6,Female,Yes,0,East,9218
8823, ,No, ,61100,47,25-49,College,8,Male,Yes,2,North,6482
8824,No,No,Control,96480,45,75+,Some high school or less,7,Male,Yes,2,West,391
8825, ,No, ,75810,29,25-49,College,8,Male,Yes,0,South,3263
8826, ,No, ,09770,23,<25,Some high school or less,13,Female,No,0,East,9300
8827, ,No, ,61150,66,50-74,Some college,6,Female,Yes,2,North,5910
8828,No,No,Control,92560,48,25-49,College,12,Female,Yes,2,West,505
8829, ,No, ,96750,40,<25,Some high school or less,3,Male,Yes,1,West,4892
8830, ,No, ,60140,46,75+,Some college,8,Female,Yes,2,North,5670
8831, ,No, ,61480,42,25-49,College,13,Female,No,0,North,5353
8832, ,No, ,60520,51,75+,Some college,9,Female,Yes,2,North,5767
8833, ,No, ,60270,32,50-74,Some high school or less,9,Female,No,0,North,5070
8834, ,No, ,95930,53,75+,Post-graduate,8,Male,Yes,2,West,4866
8835, ,No, ,95210,54,50-74,High school,4,Female,Yes,2,West,1120
8836, ,No, ,10210,32,<25,Post-graduate,10,Female,No,0,East,8467
8837,No,No,Control,09910,44,75+,High school,8,Female,Yes,2,East,8348
8838, ,No, ,62060,28,75+,College,11,Male,No,0,North,7358
8839, ,No, ,96620,65,75+,Some college,8,Male,Yes,2,West,405
8840,No,No,Control,96050,53,25-49,Post-graduate,6,Female,Yes,2,West,1327
8841, ,No, ,94290,28,<25,College,12,Female,No,0,West,898
8842, ,No, ,08920,29,25-49,Post-graduate,7,Female,Yes,2,East,8000
8843,No,No,Test,93620,57,50-74,Some high school or less,15,Female,No,1,West,749
8844, ,No, ,12340,42,75+,Some college,6,Male,Yes,3,East,9293
8845, ,No, ,60700,35,<25,Post-graduate,3,Male,No,0,North,7021
8846,No,No,Test,61420,32,25-49,High school,8,Female,No,1,North,5339
8847, ,No, ,59900,30,50-74,High school,6,Female,No,1,North,4970
8848, ,No, ,96510,38,<25,Some high school or less,1,Male,No,0,West,4195
8849, ,No, ,11770,36,25-49,College,9,Male,Yes,1,East,7908
8850, ,No, ,61850,42,25-49,Post-graduate,7,Female,Yes,2,North,6080
8851,No,No,Test,10390,36,75+,College,11,Male,No,0,East,9629
8852, ,No, ,61230,57,75+,Some college,14,Female,Yes,0,North,5927
8853, ,No, ,60110,28,25-49,Some high school or less,11,Female,No,0,North,5024
8854, ,No, ,59850,36,25-49,Post-graduate,13,Female,No,1,North,4956
8855, ,No, ,11230,55,50-74,College,11,Female,Yes,2,East,8832
8856,No,No,Test,11720,21,75+,Some college,8,Female,No,0,East,9035
8857, ,No, ,60310,33,50-74,College,6,Male,No,0,North,6926
8858,No,No,Control,74100,26,<25,College,8,Female,No,0,South,1724
8859, ,No, ,74930,37,<25,Some college,11,Female,No,0,South,1917
8860,No,No,Control,94750,67,75+,Post-graduate,15,Male,Yes,2,West,4813
8861, ,No, ,96460,45,25-49,Some high school or less,14,Female,Yes,0,West,1423
8862, ,Yes, ,10050,53,25-49,Some high school or less,12,Male,Yes,2,East,9552
8863, ,No, ,74040,49,50-74,High school,10,Female,No,1,South,1705
8864, ,No, ,61710,57,75+,High school,9,Male,Yes,3,North,6622
8865,No,No,Test,74960,33,<25,Some high school or less,6,Female,No,0,South,1922
8866, ,No, ,11910,58,25-49,High school,4,Female,Yes,0,East,9091
8867, ,No, ,95150,45,25-49,College,13,Female,No,1,West,1103
8868,No,No,Control,76080,57,75+,College,11,Female,Yes,2,South,2739
8869, ,No, ,10680,60,75+,College,10,Female,Yes,2,East,8628
8870, ,No, ,60130,33,25-49,High school,5,Male,No,1,North,6867
8871, ,No, ,12130,62,50-74,Some high school or less,4,Female,Yes,2,East,9163
8872, ,No, ,74070,58,75+,Post-graduate,8,Female,Yes,0,South,2243
8873, ,No, ,60710,46,25-49,Some high school or less,9,Male,Yes,2,North,6382
8874, ,No, ,75080,63,25-49,Some college,10,Female,Yes,2,South,2486
8875, ,No, ,61530,45,75+,Some college,7,Female,No,2,North,5364
8876, ,No, ,75880,21,<25,High school,11,Male,No,0,South,3987
8877, ,No, ,09670,54,75+,College,7,Male,Yes,3,East,7666
8878, ,No, ,61110,51,50-74,Some college,13,Male,Yes,3,North,6487
8879,No,No,Test,60760,33,<25,Some college,6,Female,No,0,North,5183
8880, ,No, ,75790,32,25-49,College,14,Female,Yes,0,South,2654
8881, ,No, ,75470,53,50-74,Post-graduate,9,Female,Yes,2,South,2577
8882, ,No, ,96520,49,75+,Post-graduate,14,Male,Yes,0,West,397
8883, ,No, ,95820,56,25-49,Some college,7,Female,Yes,2,West,1269
8884,No,No,Control,59930,31,<25,Some college,13,Female,Yes,0,North,5617
8885, ,No, ,61820,24,50-74,High school,4,Male,No,0,North,7300
8886, ,No, ,76190,54,75+,Some high school or less,15,Female,No,2,South,2206
8887, ,Yes, ,75110,48,75+,Post-graduate,14,Female,Yes,2,South,2498
8888, ,No, ,75040,36,<25,Post-graduate,12,Female,No,0,South,1940
8889, ,Yes, ,61710,51,<25,College,16,Female,No,0,North,5398
8890, ,No, ,60850,25,<25,Post-graduate,3,Female,No,0,North,5202
8891,No,No,Test,94800,36,75+,Some college,12,Female,No,2,West,1011
8892, ,No, ,75460,29,<25,Some college,9,Female,No,0,South,2027
8893, ,No, ,75210,57,75+,High school,15,Male,Yes,3,South,3107
8894, ,No, ,59920,25,25-49,High school,10,Female,Yes,2,North,5616
8895,No,No,Control,60120,48,75+,High school,10,Female,Yes,0,North,5667
8896, ,No, ,76100,64,75+,College,11,Female,Yes,2,South,2746
8897, ,No, ,62280,38,50-74,Some college,7,Male,No,0,North,7419
8898,No,No,Control,95690,29,25-49,Post-graduate,12,Female,No,0,West,1239
8899, ,Yes, ,61010,61,75+,Some college,8,Female,Yes,3,North,5876
8900,No,No,Test,74430,55,25-49,Some high school or less,12,Male,Yes,0,South,2894
8901, ,No, ,60810,52,50-74,College,7,Female,No,1,North,6772
8902, ,No, ,11150,54,50-74,Some college,14,Female,No,1,East,8800
8903, ,No, ,10790,51,25-49,College,10,Male,Yes,2,East,7815
8904, ,No, ,75870,29,50-74,College,8,Female,No,1,South,2133
8905,Yes,No,Test,74540,35,25-49,Post-graduate,11,Male,No,0,South,3600
8906, ,No, ,10250,52,75+,Post-graduate,10,Female,No,1,East,8482
8907, ,No, ,95830,47,50-74,High school,10,Male,Yes,2,West,335
8908, ,No, ,95250,31,<25,Some college,6,Female,No,0,West,1130
8909, ,No, ,95300,45,50-74,Some college,11,Female,No,1,West,1142
8910, ,No, ,75730,41,75+,College,7,Male,Yes,2,South,3234
8911, ,No, ,93940,20,<25,High school,8,Male,No,0,West,4131
8912, ,No, ,12180,27,25-49,Post-graduate,12,Female,No,1,East,9189
8913, ,No, ,74720,26,<25,Some college,12,Male,No,0,South,3650
8914, ,No, ,61870,35,25-49,High school,5,Female,No,0,North,5431
8915,No,No,Test,75410,33,75+,Post-graduate,14,Male,No,0,South,3855
8916, ,No, ,75850,29,<25,College,12,Male,No,0,South,3975
8917, ,No, ,10490,56,75+,Some college,8,Male,No,0,East,9654
8918, ,No, ,92790,47,50-74,Some high school or less,9,Female,Yes,0,West,557
8919, ,No, ,75590,63,25-49,College,10,Female,Yes,0,South,2602
8920, ,No, ,95890,42,50-74,High school,10,Female,No,3,West,1283
8921, ,No, ,60530,36,25-49,Some high school or less,3,Female,No,1,North,5127
8922, ,No, ,60830,25,<25,High school,10,Male,No,0,North,7053
8923,No,No,Test,62320,54,75+,Some college,7,Female,Yes,3,North,6188
8924, ,No, ,12120,69,75+,College,6,Male,Yes,3,East,9932
8925, ,No, ,12340,33,<25,Some high school or less,9,Male,No,0,East,9965
8926,No,No,Test,95400,42,50-74,Post-graduate,15,Female,Yes,0,West,1174
8927,No,No,Test,62220,54,75+,College,12,Male,Yes,2,North,6733
8928, ,No, ,74460,43,75+,High school,12,Female,No,2,South,1810
8929, ,No, ,75080,47,75+,High school,14,Female,No,1,South,1950
8930,No,No,Control,61280,56,75+,College,8,Male,Yes,0,North,6526
8931, ,No, ,60210,42,25-49,Some high school or less,9,Male,Yes,2,North,6274
8932,No,No,Control,60710,71,75+,College,15,Female,Yes,2,North,5807
8933, ,No, ,09690,40,50-74,Some college,6,Female,No,1,East,8283
8934, ,No, ,11720,37,75+,Some high school or less,6,Male,No,0,East,9856
8935, ,No, ,11270,49,<25,Post-graduate,8,Male,No,0,East,9789
8936, ,No, ,96220,31,25-49,Some college,12,Male,No,1,West,4188
8937, ,No, ,09200,51,50-74,Some high school or less,11,Male,No,2,East,9405
8938, ,No, ,60490,23,25-49,Post-graduate,1,Male,No,0,North,6967
8939, ,No, ,10190,34,<25,High school,13,Male,No,0,East,9583
8940, ,No, ,75530,49,75+,High school,3,Male,Yes,0,South,3185
8941, ,No, ,61520,59,75+,High school,6,Female,Yes,2,North,6005
8942, ,No, ,93030,27,25-49,Post-graduate,10,Female,No,1,West,599
8943, ,No, ,74650,54,50-74,Post-graduate,9,Male,Yes,0,South,2958
8944,No,No,Control,94340,30,<25,Post-graduate,12,Male,Yes,2,West,191
8945, ,No, ,95220,51,75+,High school,5,Female,Yes,2,West,1121
8946, ,No, ,92750,56,75+,Some college,14,Female,Yes,0,West,549
8947, ,No, ,12100,59,25-49,Some high school or less,13,Female,No,1,East,9150
8948, ,No, ,74750,36,75+,High school,11,Male,No,0,South,3659
8949, ,No, ,11410,16,<25,Post-graduate,12,Female,No,0,East,8911
8950, ,No, ,94920,38,25-49,Some high school or less,9,Female,Yes,1,West,1042
8951,No,No,Test,10270,52,50-74,Some college,9,Female,Yes,3,East,8491
8952,No,No,Test,11130,28,25-49,Some college,9,Female,No,0,East,8791
8953, ,No, ,09300,20,<25,Some high school or less,12,Male,No,0,East,9423
8954, ,No, ,61610,47,25-49,College,10,Male,Yes,0,North,6601
8955,No,No,Test,09470,37,75+,Some college,6,Male,Yes,1,East,7642
8956, ,No, ,75430,50,75+,Some high school or less,2,Male,Yes,0,South,3162
8957, ,No, ,09170,53,75+,Some high school or less,6,Male,Yes,2,East,7442
8958, ,No, ,10600,44,<25,Post-graduate,8,Male,No,0,East,9679
8959, ,No, ,59860,26,25-49,Some college,7,Male,Yes,2,North,6200
8960, ,No, ,74850,16,25-49,Some college,16,Male,No,0,South,3692
8961, ,No, ,61430,35,50-74,Some college,5,Male,No,0,North,7192
8962,No,No,Test,59970,50,50-74,Some college,14,Male,No,0,North,6836
8963, ,No, ,59920,16,25-49,Some high school or less,5,Female,No,0,North,4977
8964,No,No,Test,93070,42,25-49,Some college,12,Male,Yes,3,West,4742
8965,No,No,Test,60630,44,25-49,Some high school or less,10,Female,Yes,0,North,5785
8966,No,No,Control,92850,53,50-74,College,11,Male,No,4,West,4264
8967, ,No, ,96970,65,25-49,High school,11,Female,Yes,2,West,1545
8968,No,No,Control,60490,44,75+,Post-graduate,10,Female,Yes,2,North,5757
8969, ,No, ,12110,44,75+,College,7,Female,Yes,2,East,9155
8970, ,No, ,75310,46,50-74,Some college,7,Female,Yes,2,South,2544
8971, ,No, ,61690,48,25-49,Post-graduate,10,Male,No,1,North,7265
8972, ,No, ,74120,49,75+,Some college,6,Female,No,0,South,1731
8973, ,Yes, ,74560,30,25-49,College,10,Female,No,1,South,1837
8974, ,No, ,60100,51,75+,Some college,6,Male,Yes,2,North,6251
8975, ,No, ,93520,43,75+,Post-graduate,5,Female,No,2,West,727
8976,No,No,Test,93100,48,50-74,Some high school or less,13,Female,Yes,0,West,626
8977, ,No, ,94230,48,25-49,Some high school or less,11,Male,Yes,3,West,179
8978, ,No, ,60220,25,25-49,High school,8,Female,No,1,North,5056
8979,No,No,Test,93330,52,75+,High school,14,Female,Yes,2,West,676
8980, ,No, ,60880,46,50-74,Some high school or less,4,Female,Yes,3,North,5844
8981, ,No, ,60960,38,25-49,College,9,Male,No,1,North,7083
8982, ,No, ,59900,44,50-74,Some college,14,Female,No,1,North,4968
8983, ,No, ,94980,43,75+,High school,12,Female,Yes,0,West,1060
8984, ,No, ,94150,56,25-49,College,15,Male,Yes,3,West,166
8985, ,No, ,11480,51,75+,Some college,9,Male,Yes,3,East,9280
8986,No,No,Test,75080,36,<25,Some college,12,Male,Yes,0,South,3064
8987,No,No,Test,60180,62,25-49,High school,9,Male,Yes,0,North,6267
8988, ,No, ,12040,46,75+,High school,7,Male,No,0,East,9917
8989,No,No,Control,93680,26,50-74,High school,12,Male,No,0,West,4324
8990, ,No, ,95750,60,25-49,Some college,9,Female,Yes,0,West,1251
8991,No,No,Test,60650,22,<25,High school,10,Male,No,0,North,7010
8992, ,No, ,61680,54,75+,Some high school or less,9,Female,No,1,North,5393
8993, ,No, ,10520,43,50-74,College,3,Female,Yes,2,East,8582
8994, ,No, ,75210,56,75+,Some high school or less,11,Female,Yes,0,South,2524
8995, ,No, ,12050,70,75+,Some college,11,Female,Yes,3,East,9134
8996,No,No,Control,61500,60,50-74,Some high school or less,9,Female,Yes,3,North,6000
8997, ,No, ,97280,48,25-49,Post-graduate,10,Female,Yes,2,West,1620
8998, ,No, ,95040,59,75+,Some college,12,Female,Yes,2,West,1076
8999, ,No, ,75470,46,25-49,College,8,Male,Yes,2,South,3174
9000, ,No, ,10770,40,75+,College,7,Female,Yes,1,East,8664
9001, ,No, ,94830,35,<25,High school,7,Male,Yes,1,West,4820
9002, ,No, ,10010,52,75+,Post-graduate,10,Female,Yes,3,East,8384
9003, ,No, ,10910,31,<25,High school,11,Male,No,0,East,9725
9004, ,No, ,76020,44,75+,Some college,11,Female,Yes,0,South,2718
9005, ,No, ,12170,55,50-74,High school,10,Male,No,1,East,9942
9006, ,No, ,11570,43,75+,Some college,15,Female,No,1,East,9327
9007,No,No,Control,60990,59,50-74,College,11,Female,Yes,2,North,5871
9008, ,No, ,92650,60,75+,Some high school or less,11,Female,Yes,2,West,526
9009, ,No, ,75770,18,<25,Post-graduate,12,Male,No,0,South,3956
9010,No,No,Test,61870,37,<25,High school,10,Male,No,0,North,7317
9011, ,No, ,09430,27,50-74,Some high school or less,11,Male,No,0,East,9454
9012, ,No, ,96390,55,75+,High school,11,Male,Yes,2,West,381
9013, ,No, ,60680,48,25-49,College,13,Male,Yes,2,North,6371
9014, ,No, ,94240,46,50-74,High school,9,Male,No,2,West,4367
9015, ,No, ,97250,26,50-74,Post-graduate,13,Male,No,0,West,4614
9016, ,Yes, ,11050,50,25-49,College,3,Male,Yes,2,East,7835
9017,No,No,Control,76020,33,75+,Some college,10,Male,Yes,1,South,3317
9018, ,No, ,60560,44,25-49,Some college,10,Female,No,0,North,5135
9019, ,No, ,95970,53,75+,Some college,13,Male,No,0,West,4518
9020,No,No,Control,10320,64,50-74,Some college,8,Male,No,1,East,9619
9021, ,No, ,93880,48,75+,Post-graduate,8,Male,Yes,3,West,4776
9022, ,No, ,75950,53,25-49,College,10,Male,No,1,South,4005
9023, ,No, ,92740,47,25-49,Some college,6,Male,No,0,West,4251
9024, ,No, ,11240,41,50-74,College,7,Female,No,2,East,8834
9025, ,No, ,75790,52,75+,Post-graduate,12,Female,Yes,2,South,2653
9026, ,No, ,75490,51,25-49,High school,3,Female,No,0,South,2037
9027, ,No, ,12300,41,50-74,High school,6,Female,Yes,3,East,9225
9028, ,No, ,93440,42,75+,Some college,9,Male,No,0,West,4308
9029, ,No, ,12130,38,50-74,Post-graduate,9,Female,No,2,East,9160
9030, ,No, ,75630,38,25-49,Post-graduate,12,Female,No,0,South,2073
9031, ,No, ,95940,54,25-49,Post-graduate,9,Male,Yes,3,West,349
9032, ,No, ,76200,53,75+,College,11,Male,Yes,0,South,3371
9033, ,No, ,75510,43,75+,College,13,Female,No,3,South,2040
9034, ,No, ,60610,24,75+,Post-graduate,12,Male,No,0,North,6998
9035, ,No, ,10230,39,25-49,Some high school or less,11,Female,Yes,2,East,8476
9036,No,No,Control,11110,64,25-49,High school,17,Female,Yes,0,East,8781
9037, ,No, ,12090,38,<25,Some high school or less,8,Female,Yes,1,East,9145
9038, ,No, ,10240,59,50-74,Some high school or less,9,Male,No,2,East,9600
9039, ,No, ,75630,55,75+,College,9,Male,Yes,0,South,3214
9040, ,No, ,93660,30,<25,High school,10,Male,No,0,West,4323
9041, ,No, ,75190,66,75+,Some high school or less,7,Male,Yes,2,South,3097
9042, ,No, ,97240,42,25-49,College,8,Male,No,0,West,4613
9043, ,No, ,75750,42,25-49,College,15,Female,No,1,South,2106
9044,No,No,Test,09780,61,75+,Post-graduate,9,Female,No,1,East,8303
9045, ,No, ,74720,71,75+,College,8,Female,Yes,2,South,2400
9046, ,No, ,93600,50,75+,High school,9,Female,Yes,2,West,742
9047, ,No, ,95920,39,25-49,Post-graduate,7,Male,Yes,1,West,4862
9048,No,No,Test,11880,57,75+,College,13,Female,Yes,0,East,9085
9049, ,No, ,61610,18,<25,Post-graduate,9,Male,No,0,North,7241
9050, ,No, ,75070,47,75+,College,12,Female,No,3,South,1947
9051, ,No, ,95640,42,75+,College,4,Male,Yes,3,West,312
9052, ,No, ,61850,44,75+,High school,6,Female,Yes,3,North,6079
9053, ,No, ,09650,34,<25,Some high school or less,5,Male,No,0,East,9497
9054, ,No, ,60490,62,75+,High school,12,Female,No,2,North,5116
9055, ,No, ,74210,38,50-74,Some college,14,Female,Yes,0,South,2279
9056, ,No, ,09610,29,50-74,Post-graduate,7,Male,No,1,East,9493
9057, ,No, ,94760,27,50-74,Some college,8,Female,No,0,West,1001
9058, ,No, ,74100,38,50-74,College,13,Female,No,0,South,1725
9059, ,No, ,75860,41,25-49,High school,10,Female,Yes,0,South,2673
9060,No,No,Control,59970,33,25-49,High school,7,Female,Yes,2,North,5626
9061, ,No, ,09950,40,75+,High school,13,Male,No,0,East,9531
9062, ,No, ,93200,45,75+,Post-graduate,7,Male,Yes,2,West,93
9063,No,Yes,Control,93980,36,25-49,High school,9,Male,No,1,West,154
9064, ,No, ,10430,60,75+,Some college,10,Female,No,2,East,9315
9065, ,No, ,75100,63,50-74,High school,8,Female,Yes,3,South,2494
9066,No,No,Test,61330,26,25-49,Post-graduate,12,Female,No,0,North,6781
9067, ,No, ,76040,51,75+,College,6,Female,Yes,2,South,2723
9068, ,No, ,10330,48,50-74,College,7,Male,Yes,3,East,7986
9069, ,No, ,93340,51,25-49,Some high school or less,15,Male,Yes,3,West,4751
9070, ,No, ,61430,42,75+,Some high school or less,7,Male,Yes,2,North,6558
9071, ,No, ,75030,49,75+,Some high school or less,7,Female,Yes,0,South,2469
9072, ,No, ,75950,41,<25,Some college,12,Male,No,0,South,4006
9073, ,No, ,96290,43,75+,High school,10,Male,Yes,2,West,372
9074, ,No, ,12210,39,<25,Some high school or less,10,Female,Yes,0,East,9200
9075,No,No,Test,97150,35,50-74,Some college,8,Female,Yes,0,West,1592
9076, ,No, ,60820,41,50-74,Some high school or less,12,Male,Yes,3,North,6405
9077, ,No, ,75120,20,75+,Some college,3,Male,No,0,South,3777
9078,No,No,Test,12020,45,25-49,Post-graduate,14,Female,Yes,2,East,9117
9079, ,No, ,96340,26,25-49,Some college,8,Male,No,0,West,4544
9080, ,No, ,10550,57,50-74,Some high school or less,9,Male,Yes,3,East,9261
9081, ,No, ,61400,34,25-49,Some college,7,Male,No,1,North,7185
9082,No,No,Test,08970,49,50-74,High school,10,Female,No,2,East,8019
9083, ,No, ,74470,39,50-74,Some college,10,Female,No,2,South,1811
9084, ,No, ,75430,43,75+,College,15,Female,Yes,2,South,2567
9085, ,No, ,12240,45,75+,High school,9,Male,No,0,East,9951
9086, ,No, ,09450,56,75+,Post-graduate,6,Female,Yes,2,East,8190
9087, ,No, ,76040,24,<25,Some high school or less,12,Male,No,0,South,4030
9088, ,No, ,74960,39,75+,College,14,Male,No,0,South,3729
